cityid,city,country,date,Lat,Lng,max_temp,humidity,wind_speed,clouds
0,chaah,MY,1603936972,2.25,103.05,86.27,64,4.05,86
1,ushuaia,AR,1603936509,-54.8,-68.3,41.0,93,20.8,90
2,arraial do cabo,BR,1603936514,-22.97,-42.03,74.98,94,8.68,3
3,smithers,CA,1603936973,54.78,-127.17,33.8,100,4.7,90
4,yilan,TW,1603936973,24.76,121.75,79.0,99,5.35,100
5,ahipara,NZ,1603936974,-35.17,173.17,64.4,85,5.86,100
6,cabinda,AO,1603936974,-5.55,12.2,76.41,88,6.08,97
7,dikson,RU,1603936974,73.51,80.55,3.02,89,20.89,0
8,airai,TL,1603936975,-8.93,125.41,77.2,50,3.76,52
9,biak,ID,1603936975,-0.91,122.88,84.61,61,2.48,63
10,bengkulu,ID,1603936975,-3.8,102.27,82.33,68,2.8,100
11,vaini,TO,1603936976,-21.2,-175.2,77.0,73,12.75,40
12,nhulunbuy,AU,1603936976,-12.23,136.77,93.2,41,10.29,40
13,kapaa,US,1603936976,22.08,-159.32,77.0,83,3.36,90
14,youghal,IE,1603936977,51.95,-7.85,53.01,100,19.46,75
15,grand gaube,MU,1603936954,-20.01,57.66,71.01,72,5.01,38
16,doka,SD,1603936977,13.52,35.77,74.26,36,3.4,0
17,hithadhoo,MV,1603936977,-0.6,73.08,83.25,73,10.31,0
18,puerto ayora,EC,1603936978,-0.74,-90.35,69.01,93,4.0,61
19,panguna,PG,1603936978,-6.32,155.48,79.36,79,1.7,97
20,harnosand,SE,1603936978,62.63,17.94,41.0,93,10.29,21
21,tessalit,ML,1603936527,20.2,1.01,75.54,18,10.85,0
22,saldanha,ZA,1603936979,-33.01,17.94,59.0,87,11.41,100
23,kibre mengist,ET,1603936980,5.88,38.98,55.62,94,2.33,0
24,yellowknife,CA,1603936805,62.46,-114.35,21.2,85,9.17,90
25,rikitea,PF,1603936980,-23.12,-134.97,74.97,81,10.85,85
26,phirangipuram,IN,1603936980,16.3,80.27,75.69,78,2.17,83
27,port alfred,ZA,1603936981,-33.59,26.89,67.08,83,2.13,99
28,listvyagi,RU,1603936981,53.68,86.95,25.34,94,14.18,99
29,cavalcante,BR,1603936893,-13.8,-47.46,71.35,76,2.15,99
30,bethel,US,1603936982,41.37,-73.41,48.99,100,5.26,1
31,kandrian,PG,1603936982,-6.22,149.55,84.34,75,6.67,100
32,cape town,ZA,1603936949,-33.93,18.42,61.0,87,13.87,75
33,ilulissat,GL,1603936983,69.22,-51.1,14.0,61,3.36,100
34,carnarvon,AU,1603936984,-24.87,113.63,75.2,69,10.29,46
35,pandan,PH,1603936984,14.05,124.17,84.94,72,9.48,57
36,eyl,SO,1603936984,7.98,49.82,77.36,77,0.63,75
37,saint-philippe,RE,1603936985,-21.36,55.77,69.8,68,6.93,20
38,los llanos de aridane,ES,1603936985,28.66,-17.92,71.6,60,8.05,90
39,salinas,US,1603936836,36.68,-121.66,66.2,42,9.17,1
40,mikhaylovskoye,RU,1603936986,51.82,79.72,26.49,92,9.24,21
41,yar-sale,RU,1603936541,66.83,70.83,10.26,89,18.01,100
42,punta arenas,CL,1603936986,-53.15,-70.92,48.2,61,31.09,75
43,castro,BR,1603936949,-24.79,-50.01,62.74,46,2.93,0
44,tuktoyaktuk,CA,1603936987,69.45,-133.04,23.0,92,28.86,90
45,husavik,IS,1603936988,66.04,-17.34,41.0,90,10.29,20
46,hermanus,ZA,1603936989,-34.42,19.23,59.0,87,14.47,100
47,san andres,CO,1603936990,12.58,-81.7,84.2,79,9.17,20
48,namtsy,RU,1603936990,62.72,129.67,5.0,77,4.47,0
49,hilo,US,1603936955,19.73,-155.09,84.2,66,5.82,75
50,pevek,RU,1603936991,69.7,170.31,20.08,95,17.11,100
51,debre birhan,ET,1603936991,9.68,39.53,41.77,71,5.37,0
52,mao,ES,1603936992,39.89,4.27,59.0,87,6.93,0
53,norman wells,CA,1603936992,65.28,-126.83,15.8,85,5.82,75
54,barrow,US,1603936992,71.29,-156.79,21.2,67,3.36,90
55,guerrero negro,MX,1603936993,27.98,-114.06,67.78,52,15.66,0
56,vicuna,CL,1603936993,-30.03,-70.71,53.6,81,3.36,0
57,pell city,US,1603936993,33.59,-86.29,73.99,100,6.53,40
58,salamanca,ES,1603936994,40.83,-6.0,42.8,100,3.42,90
59,bluff,NZ,1603936994,-46.6,168.33,61.0,70,5.01,72
